epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9369,0.84763,3.5117,1.44174,0.14583,1,0.36083,0.32214,0.30538,3.90861,0.77435,0.00010908,0.00010908,0.00010908
2,46.0046,0.24258,3.01335,1.023,0.00352,1,0.3947,0.33775,0.35149,3.79218,0.78838,0.000225,0.000225,0.000225
3,65.6454,0.21016,2.2976,0.96584,0.14755,1,0.82373,0.69423,0.57208,3.44089,1.07021,0.000338581,0.000338581,0.000338581
4,86.2743,0.25439,1.61179,0.9744,0.85725,0.51008,0.69267,0.5147,0.59248,2.74703,0.93132,0.000449821,0.000449821,0.000449821
5,107.013,0.23379,1.33313,0.93928,0.57492,0.80058,0.70647,0.56296,0.62681,2.82576,0.96514,0.000558722,0.000558722,0.000558722
6,127.217,0.20991,1.10992,0.93405,0.6958,0.85018,0.86352,0.64304,0.75619,2.93296,1.12859,0.000665283,0.000665283,0.000665283
7,147.954,0.21465,1.06785,0.93844,0.81664,0.78571,0.81846,0.74343,0.39329,1.97702,0.79596,0.000769505,0.000769505,0.000769505
8,169.534,0.21703,1.09994,0.93282,0.73918,0.74167,0.81884,0.6537,0.43282,3.57152,0.80465,0.000846006,0.000846006,0.000846006
9,191.157,0.225,1.02456,0.92641,0.79981,0.78911,0.84499,0.58715,1.09192,3.27458,1.62159,0.000837007,0.000837007,0.000837007
10,213.768,0.21364,0.94032,0.94474,0.84223,0.7072,0.80845,0.71678,0.57297,2.09067,0.95881,0.000828008,0.000828008,0.000828008
11,234.893,0.19486,0.96781,0.9307,0.78142,0.73083,0.79836,0.64617,0.69602,2.87625,1.00968,0.000819009,0.000819009,0.000819009
12,256.255,0.18193,0.90329,0.92421,0.85603,0.70045,0.85057,0.77248,0.50085,2.32739,0.83201,0.00081001,0.00081001,0.00081001
13,277.413,0.18567,0.86199,0.91025,0.8568,0.71916,0.88684,0.78559,0.58415,2.754,1.04469,0.000801011,0.000801011,0.000801011
14,297.667,0.17341,0.84028,0.90674,0.87445,0.73361,0.86523,0.81282,0.39478,2.35334,0.75965,0.000792012,0.000792012,0.000792012
15,317.574,0.15936,0.83553,0.9072,0.78425,0.75914,0.84595,0.75461,0.50866,2.21082,0.87973,0.000783013,0.000783013,0.000783013
16,337.744,0.16417,0.85664,0.90498,0.83351,0.755,0.83626,0.80093,0.40138,1.82766,0.74206,0.000774013,0.000774013,0.000774013
17,358.288,0.16485,0.79741,0.90006,0.79822,0.81609,0.84663,0.80337,0.30954,1.6494,0.70142,0.000765014,0.000765014,0.000765014
18,379.701,0.16779,0.75105,0.92103,0.82413,0.83605,0.90185,0.85613,0.32223,1.52994,0.73535,0.000756015,0.000756015,0.000756015
19,401.062,0.1677,0.76975,0.90296,0.88425,0.88095,0.90688,0.84398,0.3768,1.542,0.80874,0.000747016,0.000747016,0.000747016
20,422.984,0.16438,0.76098,0.91367,0.83781,0.8585,0.93336,0.91618,0.25103,1.31695,0.65925,0.000738017,0.000738017,0.000738017
21,444.026,0.15514,0.71286,0.88678,0.73339,0.8847,0.8792,0.86283,0.1941,1.16027,0.59013,0.000729018,0.000729018,0.000729018
22,464.791,0.15282,0.67111,0.89875,0.85066,0.83864,0.81063,0.80537,0.2075,1.32088,0.61131,0.000720019,0.000720019,0.000720019
23,485.128,0.14169,0.64066,0.89733,0.91262,0.84917,0.88681,0.87431,0.2276,1.23252,0.63265,0.00071102,0.00071102,0.00071102
